dt_kst,open,close,low,high,acc_price,acc_vol,mid,eye_base,eye_trans,eye_fore1,eye_fore2,eye_fore_diff,mid_eye_fore1,mid_eye_fore2,mid_eye_fore,mid_eye_fore_pre,eye_trans_base,low_point,high_point,ma40,mid_ma40,ema112,mid_ema112,good
2018-01-12 00:30:00,19817000.0,19775000.0,19550000.0,19894000.0,17570572462.3,890.70007749,19722000.0,17675500.0,19320500.0,20882750.0,21944500.0,-0.050843399456489205,-0.05885559273907311,-0.11269141060744346,under,under,over,True,False,19936400.0,under,21895053.57142857,under,False
2018-01-12 01:00:00,19777000.0,19884000.0,19616000.0,19999000.0,11975905596.0,603.46146916,19807500.0,17675500.0,19782500.0,20268250.0,21330000.0,-0.052384887693806816,-0.02326139088729017,-0.07686482393032942,under,under,over,False,False,19899250.0,under,21855357.14285714,under,False
2018-01-12 01:30:00,19865000.0,19805000.0,19744000.0,20064000.0,14886177812.6,746.17330835,19904000.0,17675500.0,19886500.0,19408250.0,20470000.0,-0.054706117243955535,0.0249070538585209,-0.028436495176848875,middle,under,over,False,True,19851125.0,over,21815866.07142857,under,False
2018-01-12 02:00:00,19807000.0,19540000.0,19500000.0,19833000.0,9859726383.11,501.83781756,19666500.0,17675500.0,19970000.0,18090250.0,19152000.0,-0.05869183676289714,0.08014898431342639,0.02616123865456487,over,middle,over,False,False,19794175.0,under,21777830.35714286,under,False
2018-01-12 02:30:00,19540000.0,19427000.0,19321000.0,19620000.0,6230531868.77,319.64005964,19470500.0,18857500.0,19880500.0,18090250.0,19152000.0,-0.05869183676289714,0.07088929406024498,0.01635808017256876,over,over,over,True,False,19735575.0,under,21744276.785714287,under,False
2018-01-12 03:00:00,19431000.0,19576000.0,19427000.0,19614000.0,4018001420.14,205.55979179,19520500.0,18857500.0,19880500.0,18090250.0,19152000.0,-0.05869183676289714,0.07326912732768115,0.018877590225660202,over,over,over,False,False,19688725.0,under,21709776.785714287,under,False
2018-01-12 03:30:00,19570000.0,19550000.0,19484000.0,19650000.0,3560027490.93,181.92960849,19567000.0,19128500.0,19861500.0,18090250.0,19152000.0,-0.05869183676289714,0.07547145704502478,0.021209178719272245,over,over,over,False,False,19647400.0,under,21674955.35714286,under,False
2018-01-12 04:00:00,19550000.0,19596000.0,19493000.0,19650000.0,3650668851.79,186.62522532,19571500.0,19428500.0,19861500.0,17967750.0,19152000.0,-0.06590975497766832,0.08194313159441025,0.02143422834223233,over,over,over,False,False,19623350.0,under,21640535.714285713,under,False
2018-01-12 04:30:00,19578000.0,19444000.0,19325000.0,19690000.0,4675879770.99,240.12910923,19507500.0,19724000.0,19692500.0,17886000.0,18850500.0,-0.053924857430392485,0.08312187620146097,0.033679354094579006,over,over,under,True,True,19576525.0,under,21602892.85714286,under,False
2018-01-12 05:00:00,19445000.0,19473000.0,19394000.0,19550000.0,2515050761.77,129.31163452,19472000.0,19724000.0,19692500.0,17699500.0,18777000.0,-0.06087742591598633,0.09102814297452752,0.035692276088742814,over,over,under,False,False,19548175.0,under,21563991.07142857,under,False
2018-01-12 05:30:00,19468000.0,19556000.0,19414000.0,19600000.0,3166080915.69,162.11772116,19507000.0,19724000.0,19692500.0,17888750.0,18650500.0,-0.0425826287471176,0.08295739990772544,0.04390731532270467,over,over,under,False,False,19511100.0,under,21525214.285714287,under,False
2018-01-12 06:00:00,19585000.0,19400000.0,19361000.0,19631000.0,3751825925.19,191.94933949,19496000.0,19402500.0,19577000.0,17888750.0,18492000.0,-0.033722311508629726,0.08243998768978252,0.05149774312679524,over,over,over,False,True,19466850.0,over,21487062.5,under,False
2018-01-12 06:30:00,19400000.0,19553000.0,18900000.0,19626000.0,8529634549.07,443.37416736,19263000.0,19320500.0,19295000.0,18479750.0,18492000.0,-0.0006628877555161731,0.04066085241135856,0.04002491823703473,over,over,under,False,False,19410700.0,under,21453187.5,under,False
2018-01-12 07:00:00,19553000.0,18888000.0,18551000.0,19700000.0,12623194187.4,662.25704424,19125500.0,19320500.0,19125500.0,18479750.0,18492000.0,-0.0006628877555161731,0.03376382316802175,0.033123317037463074,over,over,under,False,True,19352275.0,under,21411821.42857143,under,False
2018-01-12 07:30:00,18888000.0,18259000.0,17500000.0,18900000.0,33023807372.6,1815.40338771,18200000.0,18970000.0,18600000.0,18615250.0,18492000.0,0.006620915647117283,-0.022815934065934067,-0.016043956043956045,under,over,under,True,False,19281100.0,under,21362892.85714286,under,False
2018-01-12 08:00:00,18259000.0,19002000.0,18001000.0,19126000.0,26042662309.4,1403.59664095,18563500.0,18970000.0,18600000.0,18712750.0,18492000.0,0.01179676958223671,-0.008039970910658011,0.003851644355859617,middle,under,under,False,False,19248375.0,under,21318169.64285714,under,False
2018-01-12 08:30:00,19002000.0,19389000.0,18800000.0,19499000.0,23873156513.0,1245.70853371,19149500.0,18970000.0,18600000.0,18865750.0,18492000.0,0.019811033221578785,0.014817619258988486,0.034335100133162745,over,middle,under,False,True,19270600.0,under,21277821.42857143,under,False
2018-01-12 09:00:00,19359000.0,18505000.0,18460000.0,19397000.0,22948166276.9,1223.10849061,18928500.0,18970000.0,18600000.0,18860500.0,18369500.0,0.02603324408154609,0.00359246638666561,0.02953218691391288,over,over,under,False,False,19307975.0,under,21227991.07142857,under,False
2018-01-12 09:30:00,18503000.0,18660000.0,18005000.0,18849000.0,20448629020.8,1107.58276581,18427000.0,18970000.0,18600000.0,18860500.0,18369500.0,0.02603324408154609,-0.023525261844033214,0.003120421121180876,middle,over,under,True,False,19336975.0,under,21177196.42857143,under,False
2018-01-12 10:00:00,18660000.0,18798000.0,18590000.0,18900000.0,11676601528.0,623.76468359,18745000.0,18970000.0,18600000.0,18699750.0,18369500.0,0.017660663912619154,0.00241397706054948,0.020032008535609495,over,middle,under,False,False,19373175.0,under,21130928.57142857,under,False
